Epoch;F1;Fold;Model
0;0;0;ResNet
1;0.1276595744680851;0;ResNet
2;0.22362285544103727;0;ResNet
3;0.38844537944671664;0;ResNet
4;0.4940145228800144;0;ResNet
5;0.5825422377133401;0;ResNet
9;0.624826602880038;0;ResNet
19;0.6278509542566986;0;ResNet
26;0.6312790894474063;0;ResNet
30;0.6312790894474063;0;ResNet
0;0;1;ResNet
1;0.1459441489361702;1;ResNet
2;0.42095571194793646;1;ResNet
3;0.4738256932654216;1;ResNet
4;0.5437813128007429;1;ResNet
6;0.5638704502284512;1;ResNet
8;0.5734064040193079;1;ResNet
15;0.6036310549668228;1;ResNet
17;0.6245176612606939;1;ResNet
18;0.6595166271636861;1;ResNet
30;0.6595166271636861;1;ResNet
0;0;2;ResNet
1;0.1459441489361702;2;ResNet
2;0.3410296919062199;2;ResNet
3;0.404414535936275;2;ResNet
4;0.5269997606969589;2;ResNet
5;0.5654898909947198;2;ResNet
10;0.5671921456781404;2;ResNet
11;0.5718927022746418;2;ResNet
16;0.5877597540288381;2;ResNet
21;0.595815100362314;2;ResNet
23;0.600434332289963;2;ResNet
30;0.600434332289963;2;ResNet
0;0;3;ResNet
1;0.14388985759953501;3;ResNet
2;0.3859951260336297;3;ResNet
3;0.5007224418093983;3;ResNet
5;0.583018399018416;3;ResNet
6;0.6402080376559345;3;ResNet
12;0.6434792232141445;3;ResNet
14;0.6517802033861086;3;ResNet
16;0.6646264124440817;3;ResNet
18;0.6807299197513014;3;ResNet
22;0.6874845092715349;3;ResNet
30;0.6874845092715349;3;ResNet
0;0;4;ResNet
1;0.1286472148541114;4;ResNet
2;0.30609358564818906;4;ResNet
3;0.4995632587565865;4;ResNet
4;0.5556542560959841;4;ResNet
6;0.6146920696564615;4;ResNet
10;0.6171596139473391;4;ResNet
12;0.6443212447994954;4;ResNet
15;0.6600004025428786;4;ResNet
26;0.669474244509979;4;ResNet
30;0.669474244509979;4;ResNet
0;0;0;EfficientNet
1;0.3267188810676205;0;EfficientNet
2;0.7964092554765603;0;EfficientNet
3;0.7992772473141824;0;EfficientNet
9;0.8095909607633744;0;EfficientNet
10;0.8109185449880887;0;EfficientNet
13;0.8178110087214085;0;EfficientNet
14;0.8494899128406981;0;EfficientNet
29;0.8503371946120037;0;EfficientNet
30;0.8518369592450974;0;EfficientNet
0;0;1;EfficientNet
1;0.48160938626539607;1;EfficientNet
2;0.798400167639512;1;EfficientNet
3;0.8188828828828829;1;EfficientNet
4;0.8207476416271428;1;EfficientNet
7;0.8247342273381097;1;EfficientNet
10;0.8317636374997519;1;EfficientNet
11;0.8524503696722441;1;EfficientNet
15;0.8532294094794094;1;EfficientNet
21;0.8560114406197462;1;EfficientNet
23;0.8699638784122987;1;EfficientNet
30;0.8699638784122987;1;EfficientNet
0;0;2;EfficientNet
1;0.356840686910936;2;EfficientNet
2;0.718406580920216;2;EfficientNet
3;0.7808210971297277;2;EfficientNet
5;0.7827057148047671;2;EfficientNet
6;0.824591751856551;2;EfficientNet
17;0.8366600733860796;2;EfficientNet
21;0.8451300457080266;2;EfficientNet
22;0.8454376444335852;2;EfficientNet
30;0.8454376444335852;2;EfficientNet
0;0;3;EfficientNet
1;0.46284685611418286;3;EfficientNet
2;0.7252916794496559;3;EfficientNet
3;0.7616355951464232;3;EfficientNet
6;0.7911502552051749;3;EfficientNet
10;0.7940046805436958;3;EfficientNet
17;0.8056858811532561;3;EfficientNet
21;0.8508894775290964;3;EfficientNet
30;0.8508894775290964;3;EfficientNet
0;0;4;EfficientNet
1;0.2561019822639541;4;EfficientNet
2;0.8113158590461185;4;EfficientNet
4;0.8128180575461375;4;EfficientNet
5;0.8258633633633634;4;EfficientNet
6;0.8410666564815892;4;EfficientNet
7;0.842991264799168;4;EfficientNet
13;0.8522621701969528;4;EfficientNet
18;0.8606238394373988;4;EfficientNet
22;0.8622498040640426;4;EfficientNet
24;0.8655982905982906;4;EfficientNet
25;0.8670445206228186;4;EfficientNet
26;0.8732151465555722;4;EfficientNet
30;0.8755808891376189;4;EfficientNet